Study Title,Status,Date of publication,DOI,Affiliation,Country of 1st author,Source of funding,Registration,Registration database,Protocol,Number of database(s),Database(s) name(s),Database(s) structured,Type of database,Database(s) country(s),Aim of study,Causal contrast,Number of primary outcome(s),Name of primary outcome(s),Type of primary outcome(s),Number of interventional arm(s),Number of control(s),Medical speciality,Name of primary (first) intervention,Type of intervention,ATC class,Comparator type,Comparator name,Study design,Statistical design,Sample size,High-dimensional method,Validation study,Position of the 1st/main hdPS analysis,Number of data dimensions,Temporal window,Included dimensions,Other dimensions,Diagnoses coding system,Procedures coding system,Drugs coding system,Granularity of codes,Other granularity,Prevalence filter,Number of most prevalent codes,Recurrence assessment,Covariates prioritization method,Number of predefined covariates,Number of prioritized covariates,Inclusion of post-baseline predefined covariates,Model used for building PS,Other model,Trimming,PS score main use,PS score other use,Additional variables used for,Reported list of included hdPS variables,Main or first intervention effect model,"Intervention, nb of eligible patients","Control, nb of eligible patients",Exclusion of eligible patients in the analysis,Use of a flowchart,"Intervention, nb of patients analyzed","Control, nb of patients analyzed",Reporting of crude analysis,Diagnostics for differences,hdPS specific sensitivity analysis,hdPS specific diagnostics,Investigator excluded variables,Transparency of hdPS reporting,Comparison with other methods (non hdPS),Method details,"Other, details",Use of a reporting guideline,Availability of code,Availability of data,Statistical software used,Aim ROBINS,Results assessed ROBINS,Bias due to confounding,Bias in selection of participants,Bias in classification of interventions,Bias due to deviations from intended interventions,Bias due to missing data,Bias in measurement of outcomes,Bias in selection of the reported result,Overall bias
Preventive Dental Care and Long-Term Dental Outcomes among ALL Kids Enrollees,Done,29/2/2016,10.1111/1475-6773.1 2469,Yes,USA,Public,Not reported,,Not reported,1,Alabama CHIP program,Other,EMR / Registry,USA,Efficacy,ITT,1,nonpreventive dental visits,Time to event,1,1,Odontology,preventive dental visit,Not-pharmacological,,Standard care,Unexposed,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,4,,"Outpatient diagnoses,Inpatient diagnoses,Outpatient procedures (including tests),Outpatient drug dispensation",,Not reported,CPT,Other,,,,,Schneeweiss citation,Schneeweiss citation,15,200,Unclear,Schneeweiss citation,,Not reported,Weighting,,,No,Logistic regression,2693,2081,Unclear,No,,,Yes,Standardized Difference,,PS distribution plots,Not reported,"Specify data dimensions,Specify total number of covariates included",No,,,Not reported,Not reported,Not reported,Not reported,Assignment (ITT),beta 0.72,Moderate,Moderate,Low,Low,Low,Serious,NI,Serious
Proton pump inhibitor use and risk of depression and  anxiety in children: nationwide cohort study,Done,22/9/2021,10.1111/cts.13225,Yes,Sweden,Public,Not reported,,Not reported,1,National Patient Register + Prescribed Drug Register + Total Population Register + Statistics Sweden,Other,EMR / Registry,Sweden,Safety,"ITT,Per-protocol",1,incident depression and anxiety,Time to event,1,1,Gastroenterology,PPI,Pharmacological,A02BC,Standard care,Unexposed,New-user design,Not reported,Not reported,hdPS,No,Sensitivity analysis,,,,,,,,,,,,Not reported,Not reported,,200,,Not reported,,,Matching,,,Yes,Cox regression,29648,687323,Yes,Yes,26556,26556,No,Not reported,,,,"Specify total number of covariates included,Specify software",Yes,"Propensity score with predefined variables,Negative controls",,Not reported,Not reported,Not reported,SAS,Assignment (ITT),HR 2.31,Moderate,Low,Low,Low,Low,Low,NI,Moderate
Proton pump inhibitors and the risk of hospitalisation for community-acquired pneumonia: replicated cohort studies with meta-analysis,Done,16/7/2013,10.1136/gutjnl-2013-304738,Yes,Canada,Public,Not reported,,Mentioned but not available,8,Alberta / Saskatchewan / Manitoba / Ontario / Quebec / Nova Scotia / MarketScan / CPRD,"CNODES network databases,CPRD (+HES),Truven Marketscan","PCD,EMR / Registry",Canada / USA / UK,Safety,Per-protocol,1,incident HCAP,Time to event,1,2,Gastroenterology,PPI exposed,Pharmacological,A02BC,Active comparator,H2RA,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,,,,,,,,,,,,Schneeweiss citation,Schneeweiss citation,17,500,Unclear,Logistic regression,,Not reported,Adjustment on deciles (stratification),,To adjust after hdPS matching/weighting,No,Logistic regression,,,Unclear,No,,,No,Not reported,,,Not reported,"Specify total number of covariates included,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Assignment (ITT),HR 0.93,Moderate,Low,Low,Low,NI,Low,NI,Moderate
Real-world effectiveness of early  intervention with fixed-dose tiotropium/ olodaterol vs tiotropium in Japanese patients  with COPD: a high-dimensional propensity  score–matched cohort analysis,Done,17/6/2021,10.1186/s12931-021-01776-y,No,Japan,Private,Not reported,,Mentioned but not available,1,Medical Data Vision,Other,PCD,Japan,Efficacy,"ITT,Per-protocol",1,time to escalation to LAMA/LABA/ICS triple therapy,Time to event,1,1,Pulmonary Medicine,Tiotropium + olodaterol,Pharmacological,R03BB04,Active comparator,Tiotropium,New-user design,Not reported,Yes,hdPS,No,Primary analysis,,180,,,ICD-10,Other,Not reported,,,,,Schneeweiss citation,Schneeweiss citation,24,,Unclear,Logistic regression,,Not reported,Matching,,,No,Cox regression,1436,5352,Yes,Yes,1302,1302,No,Not reported,,,Not reported,Specify software,No,,,Not reported,On demand,On demand,Aetion,Starting and adhering (PP),HR 0.89,Moderate,Low,Low,Serious,NI,Low,NI,Serious
Reduced dose of rivaroxaban and dabigatran vs. vitamin K antagonists in very elderly patients with atrial fibrillation in a nationwide cohort study,Done,1/10/2019,10.1093/europace/euz285,Yes,France,Private,Yes,EUPAS / CT.GOV,Available,1,SNDS,SNDS,PCD,France,Both,Per-protocol,5,ischaemic stroke or systemic embolism / major bleeding / intracranial and gastrointestinal bleeding / acute coronary syndrome / all-cause death,,2,1,Cardiology,Rivaroxaban,Pharmacological,B01AF01,Active comparator,VKA,New-user design,Not reported,No,hdPS,No,Primary analysis,4,1095,"Outpatient drug dispensation,Medical encounters,Lab records (all),Diagnoses (all)",,Not reported,Not reported,Not reported,,,,,Schneeweiss citation,Schneeweiss citation,26,500,Yes,Logistic regression,,Not reported,Matching,Adjustment,,No,Cox regression,8099,36440,Yes,No,5925,5925,No,Standardized Difference,,,Not reported,"Specify data dimensions,Specify total number of covariates included,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),HR 1.14,Moderate,Moderate,Low,Serious,NI,Low,Moderate,Serious
Renal effectiveness and safety of the sodium-glucose cotransporter-2 inhibitors: a population-based  cohort study,Done,14/12/2021,10.1136/bmjdrc-2021-002496,Yes,Canada,Public,Not reported,,Mentioned but not available,2,Province of Alberta / CPRD,"CPRD (+HES),Other canadian databases","PCD,EMR / Registry",Canada / UK,Both,"Per-protocol,ITT",1,"new or worsening nephropathy,",Time to event,1,1,Diabetology,SLGT2i,Pharmacological,A10BK,Active comparator,DPP4i,New-user design,Not reported,No,hdPS,No,Primary analysis,6,365,"Hospitalizations (all),Emergency visits (all),Procedures (all),Diagnoses (all),Lab records (all),Drugs (all)",,"ICD-10,Read Codes",,,,,Yes,200,"""Once, sporadic, frequent""",Schneeweiss citation,30,500,Unclear,Logistic regression,,No,Matching,,,No,Cox regression,7709,12855,Yes,Yes,7470,7470,No,Not reported,,,Not reported,"Specify data dimensions,Describe feature recurrence assessment method,Specify total number of covariates included",No,,,Not reported,Not reported,No,Not reported,Starting and adhering (PP),HR 0.75,Moderate,Low,Low,Serious,NI,Low,NI,Serious
Risk of amputations associated with SGLT2 inhibitors compared to DPP-4 inhibitors: A propensity-matched cohort study,Done,29/6/2018,10.1111/dom.13459,Yes,USA,Not reported,Not reported,,Not reported,1,MarketScan,Truven Marketscan,PCD,USA,Safety,Per-protocol,1,any amputation,Time to event,1,1,Diabetology,SGLT2i,Pharmacological,A10BK,Active comparator,DPP4i,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,5,365,"Outpatient drug dispensation,Outpatient procedures (including tests),Inpatient diagnoses,Inpatient procedures (including tests),Outpatient diagnoses",,,,,,,,,Schneeweiss citation,Schneeweiss citation,500,8,Unclear,Schneeweiss citation,,Not reported,Matching,"Stratification,Adjustment",No additional variables used with/before/after hdPS,No,Cox regression,34999,102013,Yes,Yes,30216,30216,No,Standardized Difference,,PS distribution plots,Not reported,"Specify data dimensions,Specify total number of covariates included,Describe results of diagnostics and sensitivity analysis",No,,,Not reported,Not reported,Not reported,Not reported,Starting and adhering (PP),HR 1.38,Moderate,Low,Low,Moderate,NI,Low,NI,Moderate
Risk of Cardiovascular Events and Mortality Among Elderly Patients With Reduced GFR Receiving Direct Oral Anticoagulants,Done,22/4/2020,10.1053/j.ajkd.2020.02.446,Yes,Canada,Public,Not reported,,Mentioned but not available,1,ICES,Ontario health databases,PCD,Canada,Both,Per-protocol,1,Composite of CV events,Time to event,1,1,Cardiology,"DOAC (apixaban, dabi, rivaro)",Pharmacological,B01AF,Active comparator,VKA,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,6,,"Outpatient drug dispensation,Outpatient diagnoses,Inpatient diagnoses,Inpatient procedures (including tests),Emergency visits (all),Other",,ICD-10,Other,ATC,"3 digit ICD,Other",full ATC,,,Schneeweiss citation,Bross formula,,500,Unclear,Schneeweiss citation,,Not reported,Matching,,To adjust after hdPS matching/weighting,Yes,Cox regression,65335,136204,Yes,Yes,27552,27552,No,Standardized Difference,,Inspection of selected variables,Not reported,"Specify data dimensions,Description parameters for feature generation,Specify covariate priorisation method,Specify total number of covariates included,Specify software",No,,,RECORD,Not reported,Not reported,SAS,Assignment (ITT),HR 0.82,Moderate,Low,Low,Low,NI,Low,NI,Moderate
Risk of congenital anomalies in infants born to women  with autoimmune disease using biologics before or during  pregnancy: a population-based cohort study,Done,18/3/2019,PMID: 30943142,Yes,Canada,Public,Not reported,,Not reported,1,Population Data BC,British Columbia health databases,PCD,Canada,Safety,ITT,1,congenital  anomalies,Binary,1,1,Rheumatology,Biologic exposed,Pharmacological,L04,Standard care,Unexposed,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,4,365,"Outpatient drug dispensation,Outpatient diagnoses,Inpatient diagnoses,Other",,Not reported,,Not reported,,,,,Schneeweiss citation,Schneeweiss citation,31,50,Yes,Schneeweiss citation,,Not reported,Matching,Adjustment,,No,Logistic regression,180,8457,Yes,No,180,581,Yes,Not reported,,,Not reported,"Specify data dimensions,Specify total number of covariates included,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Assignment (ITT),OR 1.06,Moderate,Serious,Low,Low,NI,Low,NI,Serious
"Risk of COPD Exacerbations Associated with Statins versus Fibrates: A New User, Active Comparison, and High-Dimensional Propensity Score Matched Cohort Study",Done,1/10/2021,10.2147/COPD.S323391,Yes,Taiwan,Public,Not reported,,Mentioned but not available,1,National Health Insurance,Other,PCD,Taiwan,Efficacy,"ITT,Per-protocol",1,COPD exacerbations,Time to event,1,1,Cardiology,Statins,Pharmacological,C10AA,Active comparator,fibrates,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,,365,Unclear,,ICD-9,,ATC,,,,,Schneeweiss citation,Schneeweiss citation,78,100,No,Schneeweiss citation,,Not reported,Matching,,,No,Cox regression,110726,24183,Yes,Yes,24120,24120,No,Standardized Difference,,,Not reported,Specify total number of covariates included,Yes,Propensity score with predefined variables,,Not reported,Not reported,Not reported,Not reported,Assignment (ITT),HR 1.05,Moderate,Low,Low,Low,NI,Low,NI,Moderate
Risk of death among users of Proton  Pump Inhibitors: a longitudinal  observational cohort study of United  States veterans,Done,22/3/2017,10.1136/bmjopen-2016-015735,No,USA,Public,Not reported,,Not reported,1,Department of Veterans Affairs databases,Veterans Administration databases,PCD,USA,Safety,Per-protocol,1,time to death,Time to event,1,1,Gastroenterology,PPI,Pharmacological,A02BC,Active comparator,H2 blockers,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,5,365,"Outpatient drug dispensation,Outpatient diagnoses,Inpatient diagnoses,Inpatient procedures (including tests),Outpatient procedures (including tests)",,ICD-9,CPT,Generic drug names,"3 digit ICD,Generic drug name,Other",,Yes,300,"""Once, sporadic, frequent""",Bross formula,4,500,No,Logistic regression,,Not reported,Adjustment on deciles (stratification),,,No,Cox regression,275977,73335,No,No,275977,73335,Yes,Not reported,,,Not reported,"Specify data dimensions,Description parameters for feature generation,Describe feature recurrence assessment method,Specify total number of covariates included,Specify software,Specify covariate priorisation method",Yes,"Propensity score with predefined variables,Negative controls",,Not reported,Not reported,On demand,SAS,Starting and adhering (PP),HR 1.16,Moderate,Low,Low,Serious,NI,Low,NI,Serious
Risk of Diabetes Hospitalization or Diabetes Drug Intensication in Patients With Depression and Diabetes Using Second-Generation Antipsychotics Compared to Other Depression Therapies,Done,10/5/2018,10.4088/PCC.17m02220,No,USA,Public,Not reported,,Not reported,1,MarketScan,Truven Marketscan,PCD,USA,Safety,Per-protocol,1,time to first diabetes related hospitalization or treatment intensification,Time to event,1,1,Psychiatry,Second-Generation Antipsychotics,Pharmacological,N05A,Active comparator,non SGA,New-user design,Not reported,Yes,hdPS,No,Primary analysis,6,365,"Outpatient drug dispensation,Outpatient diagnoses,Inpatient diagnoses,Outpatient procedures (including tests),Inpatient procedures (including tests),Medical encounters",,,,,,,,,Schneeweiss citation,Schneeweiss citation,19,500,Unclear,Schneeweiss citation,,Not reported,Matching,,No additional variables used with/before/after hdPS,No,Cox regression,6625,23921,Yes,No,6465,6465,No,Standardized Difference,,,Not reported,"Specify data dimensions,Specify total number of covariates included,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),HR 1.03,Moderate,Low,Low,Moderate,NI,Low,NI,Moderate
Risk of Hospitalization for Serious Adverse Gastrointestinal Events Associated With Sodium Polystyrene Sulfonate Use in Patients of Advanced Age,Done,10/6/2019,10.1001/jamainternmed.2019.0631,Yes,Canada,Public,Not reported,,Not reported,1,ICES,Ontario health databases,PCD,Canada,Safety,ITT,1,hospitalization or emergency department visit for a composite of adverse GI events,Time to event,1,1,Nephrology,sodium polystyrene sulfonate,Pharmacological,V03AE01,Standard care,Unexposed,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,7,365,"Outpatient drug dispensation,Outpatient diagnoses,Inpatient diagnoses,Inpatient procedures (including tests),Outpatient procedures (including tests),Medical encounters",,ICD-10,Other,Generic drug names,"3 digit ICD,Generic drug name",,No,,"""Once, sporadic, frequent""",Bross formula,,200,,Schneeweiss citation,,Not reported,Matching,,To match with the hdPS,Yes,Cox regression,27704,1826162,Yes,Yes,20020,20020,Yes,Standardized Difference,,Inspection of selected variables,Yes,"Specify data dimensions,Description parameters for feature generation,Describe feature recurrence assessment method,Specify covariate priorisation method,Specify total number of covariates included,Specify software",Yes,Negative controls,,RECORD,Not reported,Not reported,SAS,Assignment (ITT),HR 1.94,Moderate,Low,Low,Low,NI,Low,NI,Moderate
Risk of Ischemic Cerebrovascular and Coronary Events in Adult Users of Anticonvulsant Medications in Routine Care Settings,Done,24/6/2013,10.1161/JAHA.113.000208,Yes,USA,Private,Not reported,,Not reported,1,HealthCore Integrated Research Database,Other US commercial,PCD,USA,Safety,"Per-protocol,ITT",1,Composite of ischemic coronary events and cerebrovascular events,Discrete,1,1,Neurology,Highly Inducing ACs,Pharmacological,N03A,Active comparator,Other ACs,New-user design,Not reported,Not reported,hdPS,No,Secondary analysis,5,180,"Outpatient drug dispensation,Outpatient diagnoses,Outpatient procedures (including tests),Inpatient diagnoses,Inpatient procedures (including tests)",,ICD-9,CPT,Generic drug names,"Generic drug name,Other",,,,"""Once, sporadic, frequent""",Schneeweiss citation,42,500,No,Schneeweiss citation,,Not reported,Matching,,No additional variables used with/before/after hdPS,Yes,Poisson regression,12580,153451,Yes,No,11432,11432,No,Standardized Difference,,,Not reported,"Specify data dimensions,Describe feature recurrence assessment method,Specify total number of covariates included",Yes,Propensity score with predefined variables,,Not reported,Not reported,Not reported,Not reported,Starting and adhering (PP),Composite RR 0.99,Moderate,Low,Low,Serious,NI,Low,NI,Serious
Risk of Pneumonia in New Users of Cholinesterase Inhibitors for Dementia,Done,27/4/2015,10.1111/jgs.13380,Yes,USA,Public,Not reported,,Not reported,1,Medicare,Medicaid or Medicare,PCD,USA,Safety,"ITT,Per-protocol",1,pneumonia,Time to event,4,1,Neurology,Galantamine,Pharmacological,N06DA04,Active comparator,donepezil,New-user design,Not reported,Not reported,hdPS,No,Sensitivity analysis,,,,,,,,,,,,Schneeweiss citation,Schneeweiss citation,,,,Schneeweiss citation,,Not reported,Adjustment,,No additional variables used with/before/after hdPS,No,Cox regression,1176,30174,Unclear,No,,,No,Not reported,,,Not reported,Specify software,Yes,Multivariable analysis on predefined variables,,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),HR 0.76,Moderate,Low,Low,Moderate,NI,Low,NI,Moderate
Risk of preterm delivery and small-for-gestational age births in women with autoimmune disease using  biologics before or during pregnancy: a population- based cohort study,Done,1/3/2018,10.1136/annrheumdis-2018-213023,Yes,Canada,Public,Not reported,,Not reported,1,Population Data BC,British Columbia health databases,PCD,Canada,Safety,ITT,2,preterm delivery / SGA birth,Binary,1,1,Rheumatology,any biologics,Pharmacological,L04A,Standard care,Unexposed,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,4,365,"Outpatient drug dispensation,Outpatient diagnoses,Inpatient diagnoses,Disease specific",Perinatal registry,ICD-10,,Other,"3 digit ICD,Other",,,,"""Once, sporadic, frequent""",Bross formula,23,50,No,Logistic regression,,Not reported,Matching,"Adjustment,Adjustment on deciles (stratification)",No additional variables used with/before/after hdPS,Yes,Logistic regression,134,8440,Yes,No,109,584,Yes,Standardized Difference,,,Not reported,"Specify data dimensions,Specify software,Description parameters for feature generation,Describe feature recurrence assessment method,Specify covariate priorisation method,Specify total number of covariates included",No,,,Not reported,Not reported,Not reported,SAS,Assignment (ITT),HR 1.13,Moderate,Low,Low,Low,NI,Low,NI,Moderate
Risk of serious bacterial infection associated with tumour necrosis factor-alpha inhibitors in children with juvenile idiopathic arthritis,Done,18/4/2017,10.1093/rheumatology/kex049,Yes,USA,Public,Not reported,,Not reported,1,MarketScan,Truven Marketscan,PCD,USA,Safety,Per-protocol,1,first occurrence of a ser- ious bacterial infection,Time to event,1,1,Rheumatology,TNFi,Pharmacological,L04AB,Active comparator,DMARD,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,5,182,"Outpatient diagnoses,Inpatient diagnoses,Outpatient procedures (including tests),Inpatient procedures (including tests),Outpatient drug dispensation",,Other,Other,Generic drug names,"Other,Generic drug name",,,,Schneeweiss citation,Schneeweiss citation,8,500,No,Logistic regression,,Not reported,Matching,,No additional variables used with/before/after hdPS,Yes,Cox regression,482,2013,No,Yes,482,2013,Yes,Not reported,,,Not reported,"Specify data dimensions,Specify total number of covariates included,Specify software",No,,,Not reported,Not reported,Not reported,"SAS,Stata",Starting and adhering (PP),HR 2.65,Moderate,Low,Low,Moderate,NI,Low,NI,Moderate
Risk of sudden cardiac arrest  and ventricular arrhythmia with  sulfonylureas: An experience with  conceptual replication in two  independent populations,Done,22/6/2020,10.1038/s41598-020-66668-5,Yes,USA,Public,Not reported,,Not reported,2,Medicaid / Optum,"Medicaid or Medicare,Optum Clinformatics",PCD,USA,Safety,Per-protocol,1,SCA/VA event,Time to event,2,1,Diabetology,glimepiride,Pharmacological,A10BB12,Active comparator,glipizide,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,5,,"Outpatient drug dispensation,Outpatient procedures (including tests),Outpatient diagnoses,Inpatient diagnoses,Inpatient procedures (including tests)",,"ICD-10,ICD-9",CPT,Generic drug names,"3 digit ICD,5 digit CPT,Generic drug name",,Yes,200,Schneeweiss citation,Bross formula,55,427,Unclear,Logistic regression,,Not reported,Adjustment,,To adjust after hdPS matching/weighting,Yes,Cox regression,124354,268094,No,No,124354,268094,No,Standardized Difference,,Surveillance for IVs,Yes,"Specify data dimensions,Describe results of diagnostics and sensitivity analysis,Specify software,Specify total number of covariates included,Specify covariate priorisation method,Description parameters for feature generation",No,,,Not reported,Not reported,On demand,SAS,Starting and adhering (PP),HR 1.17,Moderate,Low,Low,Moderate,NI,Low,NI,Moderate
Secondary prevention of acute coronary syndrome with antiplatelet agents in real life: A high-dimensional propensity score matched cohort study in the French National claims database,Done,7/12/2018,10.1016/j.atherosclerosis.2018.11.037,Yes,France,Private,Yes,EUPAS / CT.GOV,Available,1,SNDS,SNDS,PCD,France,Both,Per-protocol,4,death / hospital admission for ACS / stroke / bleeding,Time to event,2,2,Cardiology,clopidogrel,Pharmacological,B01AC04 ,Active comparator,ticagrelor,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,5,365,"Outpatient drug dispensation,Inpatient diagnoses,Medical encounters,Outpatient diagnoses,Disease specific",LTD / specific drugs,ICD-10,,ATC,"3 digit ICD,Other",ATC 7 digits,,,"""Once, sporadic, frequent""",Association with outcome,11,160,No,Logistic regression,,Not reported,Matching,Adjustment,To match with the hdPS,Yes,Cox regression,19796,13916,Yes,Yes,9224,9224,Yes,Standardized Difference,,PS distribution plots,Not reported,"Specify data dimensions,Description parameters for feature generation,Describe feature recurrence assessment method,Specify covariate priorisation method,Specify total number of covariates included,Describe results of diagnostics and sensitivity analysis,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),HR 0.88,Moderate,Low,Low,Serious,NI,Low,Moderate,Serious
"Sentinel Modular Program for Propensity-Score Matched Cohort  Analyses: Application to Glyburide, Glipizide, and Serious  Hypoglycemia",Done,30/6/2017,10.1097/EDE.0000000000000709,Yes,USA,Public,Not reported,,Not reported,1,Sentinel Distributed Database,Other,Both linked,USA,Safety,Per-protocol,1,Serious hypoglycemia,Time to event,1,1,Diabetology,Glyburide,Pharmacological, A10BB01,Active comparator,Glipizide,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,5,,"Outpatient drug dispensation,Inpatient diagnoses,Inpatient procedures (including tests),Outpatient procedures (including tests)",,ICD-9,"CPT,HCPCS",Not reported,,,,,Schneeweiss citation,Association with exposure,12,200,Unclear,Schneeweiss citation,,Not reported,Matching,,No additional variables used with/before/after hdPS,No,Cox regression,198553,379508,Yes,No,116641,116641,No,Standardized Difference,,"PS distribution plots,Inspection of selected variables",Not reported,"Specify data dimensions,Specify covariate priorisation method,Specify total number of covariates included,Specify software",Yes,Propensity score with predefined variables,,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),HR 1.51,Moderate,Low,Low,Moderate,NI,Low,NI,Moderate
Sequential Monitoring of the Comparative  Effectiveness and Safety of Dabigatran in  Routine Care,Done,1/2/2019,10.1161/CIRCOUTCOMES.118.005173,Yes,USA,Private,Not reported,,Not reported,2,MarketScan / Clinformatics,"Optum Clinformatics,Truven Marketscan",PCD,USA,Both,"Per-protocol,ITT",2,hospitalization for stroke / major bleeding,Time to event,1,1,Cardiology,dabigatran,Pharmacological,B01AE07,Active comparator,warfarine,New-user design,Not reported,Not reported,hdPS,No,Sensitivity analysis,,,Unclear,,,,,,,,,Schneeweiss citation,Bross formula,78,,Unclear,Schneeweiss citation,,Not reported,Matching,,No additional variables used with/before/after hdPS,No,Cox regression,6961,19975,Unclear,No,,,No,"Standardized Difference,C-statistic",,,Not reported,Specify covariate priorisation method,Yes,Propensity score with predefined variables,,RECORD-PE,Not reported,Not reported,Not reported,Starting and adhering (PP),HR 0.68,Moderate,Low,Low,Moderate,NI,Low,NI,Moderate
Serotonin-Norepinephrine Reuptake Inhibitors and the Risk of AKI A Cohort Study of Eight Administrative Databases and Meta-Analysis,Done,1/10/2015,10.2215/CJN.11271114,Yes,Canada,Public,Not reported,,Mentioned but not available,8,CNODES databases / CPRD / MarketScan,"CNODES network databases,CPRD (+HES),Truven Marketscan","PCD,EMR / Registry",Canada / UK / USA,Safety,ITT,1,hospitalization with a diagnosis of AKI,Time to event,1,1,Psychiatry,SNRI,Pharmacological,N06AX,Active comparator,SSRI,Other,Not reported,Not reported,hdPS,No,Primary analysis,,365,Unclear,,,,,,,,,Schneeweiss citation,Schneeweiss citation,4,500,No,Logistic regression,,Yes,Adjustment on deciles (stratification),,To adjust with hdPS (stratas or not),No,Logistic regression,,,Unclear,No,,,No,Not reported,,,Not reported,"Specify total number of covariates included,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Assignment (ITT),RR 0.85,Moderate,Low,Low,Low,NI,Low,NI,Moderate
Sodium‐glucose co‐transporter 2 inhibitors and the risk of fractures: A propensity score‐matched cohort study,Done,1/9/2019,10.1002/pds.4900,Yes,USA,Not reported,Not reported,,Not reported,1,MarketScan,Truven Marketscan,PCD,USA,Safety,"Per-protocol,ITT",1,first occurrence of any non ‐vertebral fracture,Time to event,1,1,Diabetology,SGLT2i,Pharmacological,A10BK,Active comparator,DPP4i,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,5,,"Outpatient diagnoses,Inpatient procedures (including tests),Outpatient procedures (including tests),Inpatient diagnoses,Outpatient drug dispensation",,Not reported,Not reported,Not reported,,,,,Schneeweiss citation,Schneeweiss citation,18,500,No,Schneeweiss citation,,Not reported,Matching,,,No,Cox regression,34352,99641,Yes,Yes,30549,30549,No,"Standardized Difference,C-statistic",,PS distribution plots,Not reported,"Specify data dimensions,Specify total number of covariates included,Describe results of diagnostics and sensitivity analysis,Specify software",No,,,Not reported,Not reported,Not reported,"SAS,Stata",Starting and adhering (PP),HR 1.11,Moderate,Low,Low,Serious,NI,Low,NI,Serious
Statin potency and the risk of hospitalization for community-acquired pneumonia,Done,23/11/2016,10.1111/bcp.13208,Yes,Canada,Public,Not reported,,Mentioned but not available,1,CPRD,CPRD (+HES),EMR / Registry,UK + HES,Safety,ITT,1,HCAP,Binary,1,1,Cardiology,High  potency statin,Pharmacological,C10AA,Active comparator,Lower potency statin,Other,Not reported,Not reported,hdPS,No,Primary analysis,,,,,,,,,,,,Schneeweiss citation,Bross formula,9,500,Unclear,Schneeweiss citation,,Not reported,Adjustment on deciles (stratification),,To adjust with hdPS (stratas or not),No,Logistic regression,217721,130707,Unclear,,,,Yes,C-statistic,,,Not reported,"Specify covariate priorisation method,Specify total number of covariates included,Specify software",Yes,Multivariable analysis on predefined variables,,Not reported,Not reported,Not reported,SAS,Assignment (ITT),1.14,Moderate,Low,Low,Moderate,NI,Low,NI,Moderate
Suicide death over the first year of lithium versus valproate treatment in  cohorts with and without bipolar disorder,Done,15/12/2021,10.1016/j.jpsychires.2021.12.011,Yes,USA,Public,Not reported,,Not reported,1,Veterans Health Administration,Veterans Administration databases,PCD,USA,Efficacy,ITT,1,Suicide death,Time to event,1,1,Psychiatry,lithium,Pharmacological,N05AN,Active comparator,valproate,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,1,,Other,,,,,,,No,,None,No prioritization,,917,No,Logistic regression,,,Matching,,,No,Cox regression,11966,28198,Yes,No,11649,11649,No,Standardized Difference,,,Yes,"Specify software,Specify total number of covariates included,Describe feature recurrence assessment method,Specify data dimensions,Description parameters for feature generation,Specify covariate priorisation method",No,,,Not reported,Not reported,Not reported,SAS,Assignment (ITT),HR 1.50,Moderate,Low,Low,Low,NI,Low,NI,Moderate
Sulfonylureas as initial treatment for type 2 diabetes and the risk of adverse cardiovascular events: A population‐based cohort study,Done,17/6/2019,10.1111/bcp.14056,Yes,Canada,Private,Not reported,,Mentioned but not available,1,CPRD,CPRD (+HES),EMR / Registry,UK,Both,"Per-protocol,ITT",1,myocardial infarction,Time to event,1,1,Diabetology,sulfonylurea,Pharmacological,A10BB,Active comparator,metformin,New-user design,Not reported,No,hdPS,No,Primary analysis,,,Unclear,,,,,,,,,Schneeweiss citation,Schneeweiss citation,38,500,Unclear,Schneeweiss citation,,Yes,Matching,,No additional variables used with/before/after hdPS,Unclear,Cox regression,77138,17612,Yes,Yes,13999,13999,No,Standardized Difference,,PS distribution plots,Not reported,Specify total number of covariates included,No,,,Not reported,Not reported,Not reported,Not reported,Starting and adhering (PP),HR 1.04,Moderate,Low,Low,Moderate,NI,Low,NI,Moderate
